netName,config,broadcasting,threads,time,shd,dfMM_avg,dfMM_plus,dfMM_minus,iterations,bdeu
andes,cges,ALL_BROADCASTING,2,8.2525,167.4545,363.6364,33.2727,33.2727,5.9091,-471974.537
andes,cges,ALL_BROADCASTING,4,11.3577,188.0,417.8182,68.1818,68.1818,11.3636,-472992.7373
andes,cges,ALL_BROADCASTING,8,15.4333,218.3636,480.3636,104.1818,104.1818,12.1818,-474078.9246
andes,cges,BEST_BROADCASTING,2,8.3143,170.7273,371.6364,33.0909,33.0909,6.0909,-472201.9726
andes,cges,BEST_BROADCASTING,4,7.7173,164.6364,356.1818,25.2727,25.2727,9.9091,-471980.0631
andes,cges,BEST_BROADCASTING,8,9.8881,161.0909,347.6364,20.9091,20.9091,15.9091,-471834.3737
andes,cges,NO_BROADCASTING,2,7.7143,160.0909,346.1818,20.1818,20.1818,6.3636,-471906.7706
andes,cges,NO_BROADCASTING,4,7.3595,161.9091,350.9091,22.9091,22.9091,9.7273,-471846.0907
andes,cges,NO_BROADCASTING,8,9.9661,164.2727,358.7273,32.7273,32.7273,15.5455,-471987.7638
andes,cges,PAIR_BROADCASTING,2,8.1441,201.9091,443.4545,75.8182,75.8182,5.9091,-473013.9936
andes,cges,PAIR_BROADCASTING,4,14.2248,238.3636,570.3636,191.6364,191.6364,10.7273,-475057.0044
andes,cges,PAIR_BROADCASTING,8,19.1942,235.2727,563.0909,200.7273,200.7273,12.0909,-474329.354
andes,cges,RANDOM_BROADCASTING,2,8.5292,172.8232,375.6037,40.7866,40.7866,6.4116,-472432.1334
andes,cges,RANDOM_BROADCASTING,4,7.87,163.6848,355.3455,25.8788,25.8788,10.2909,-471967.8261
andes,cges,RANDOM_BROADCASTING,8,8.8161,158.0212,342.1818,16.8303,16.8303,12.5515,-471765.7736
link,cges,ALL_BROADCASTING,2,221.4231,927.7273,1909.6364,677.0909,677.0909,8.9091,-1138428.0287
link,cges,ALL_BROADCASTING,4,286.1466,998.9091,2105.6364,896.7273,896.7273,18.1818,-1143935.8682
link,cges,ALL_BROADCASTING,8,366.9135,1190.8182,2654.7273,1448.1818,1448.1818,14.6364,-1154863.7727
link,cges,BEST_BROADCASTING,2,241.2357,954.0909,1981.0909,744.9091,744.9091,9.6364,-1138340.6089
link,cges,BEST_BROADCASTING,4,173.3263,935.0,1972.0,784.1818,784.1818,14.4545,-1138109.2312
link,cges,BEST_BROADCASTING,8,172.761,921.0909,1953.4545,788.7273,788.7273,19.9091,-1134817.476
link,cges,NO_BROADCASTING,2,205.6993,927.7273,1909.6364,677.0909,677.0909,8.8182,-1138428.0287
link,cges,NO_BROADCASTING,4,151.149,952.5455,2000.9091,769.8182,769.8182,14.2727,-1140594.5554
link,cges,NO_BROADCASTING,8,174.8074,947.6364,2009.0909,819.2727,819.2727,22.4545,-1136900.5296
link,cges,PAIR_BROADCASTING,2,267.9085,972.0,2069.0909,861.4545,861.4545,13.0909,-1145685.8621
link,cges,PAIR_BROADCASTING,4,295.528,1025.1111,2260.8889,1011.3333,1011.3333,16.5556,-1149181.5579
link,cges,PAIR_BROADCASTING,8,407.3091,1251.5,3047.25,1691.25,1691.25,10.5,-1193763.4729
link,cges,RANDOM_BROADCASTING,2,248.2732,949.9909,1988.3526,766.4559,766.4559,10.6565,-1138339.3486
link,cges,RANDOM_BROADCASTING,4,166.1533,952.5697,2002.4848,783.7212,783.7212,15.7182,-1137601.216
link,cges,RANDOM_BROADCASTING,8,176.7759,927.5767,1945.454,752.0798,752.0798,21.5276,-1135155.8733
pigs,cges,ALL_BROADCASTING,2,47.1707,1.6364,5.8182,5.8182,5.8182,8.1818,-1675319.6039
pigs,cges,ALL_BROADCASTING,4,61.0624,14.0,38.0,34.7273,34.7273,17.7273,-1677162.8849
pigs,cges,ALL_BROADCASTING,8,130.2187,24.7,65.6,58.0,58.0,27.7,-1680349.5642
pigs,cges,BEST_BROADCASTING,2,48.1944,9.1818,29.4545,28.5455,28.5455,9.6364,-1676167.0158
pigs,cges,BEST_BROADCASTING,4,33.5593,6.0909,22.0,22.0,22.0,13.6364,-1675819.5629
pigs,cges,BEST_BROADCASTING,8,35.4565,6.0,20.7273,20.5455,20.5455,18.8182,-1676014.0174
pigs,cges,NO_BROADCASTING,2,43.5155,2.0,6.9091,6.9091,6.9091,8.0909,-1675343.6398
pigs,cges,NO_BROADCASTING,4,30.9463,4.0,14.7273,14.5455,14.5455,12.1818,-1675666.2649
pigs,cges,NO_BROADCASTING,8,36.8567,6.3636,22.7273,22.3636,22.3636,19.1818,-1676032.762
pigs,cges,PAIR_BROADCASTING,2,43.9495,7.5455,20.1818,18.7273,18.7273,8.5455,-1676167.9939
pigs,cges,PAIR_BROADCASTING,4,44.2288,6.6364,22.1818,21.6364,21.6364,18.5455,-1676175.3344
pigs,cges,PAIR_BROADCASTING,8,166.6202,9.4545,32.9091,32.3636,32.3636,35.5455,-1676784.0627
pigs,cges,RANDOM_BROADCASTING,2,48.6937,9.4667,30.9879,29.7333,29.7333,8.4909,-1676256.4295
pigs,cges,RANDOM_BROADCASTING,4,33.5927,6.4485,21.7152,21.2182,21.2182,13.0455,-1675913.2588
pigs,cges,RANDOM_BROADCASTING,8,31.3442,2.7818,10.1394,10.0121,10.0121,15.5,-1675534.6913
